crop_name,location,price,quantity_kg,month,week,year,date,season,demand,is_peak_season
Cabbage,Madurai,18.9,750.9,3,9,2022,2022-03-05,Rabi,Medium,0
Lady Finger,Madurai,40.39,758.5,3,9,2022,2022-03-05,Rabi,Medium,0
Carrot,Dindigul,49.07,622.2,3,9,2022,2022-03-06,Rabi,Medium,0
Tomato,Trichy,33.46,452.1,3,9,2022,2022-03-06,Rabi,High,0
Potato,Salem,26.19,473.7,3,9,2022,2022-03-06,Rabi,Medium,0
Lady Finger,Madurai,40.78,447.6,3,10,2022,2022-03-07,Rabi,Medium,0
Cabbage,Thanjavur,17.6,613.1,3,10,2022,2022-03-07,Rabi,Medium,0
Cauliflower,Coimbatore,34.34,472.6,3,10,2022,2022-03-07,Rabi,Medium,0
Carrot,Tirunelveli,43.39,264.3,3,10,2022,2022-03-07,Rabi,High,0
Rice,Salem,32.26,492.9,3,10,2022,2022-03-08,Rabi,Medium,0
Brinjal,Thanjavur,25.67,564.7,3,10,2022,2022-03-08,Rabi,Medium,0
Cauliflower,Tirunelveli,29.1,558.2,3,10,2022,2022-03-08,Rabi,High,0
Chilli,Thanjavur,141.92,594.6,3,10,2022,2022-03-08,Rabi,Low,1
Cotton,Thanjavur,52.97,596.9,3,10,2022,2022-03-08,Rabi,Medium,0
Groundnut,Dindigul,66.99,445.1,3,10,2022,2022-03-08,Rabi,Medium,0
Potato,Thanjavur,23.51,439.4,3,10,2022,2022-03-09,Rabi,High,0
Onion,Chennai,32.79,782.2,3,10,2022,2022-03-10,Rabi,Medium,0
Brinjal,Coimbatore,25.54,687.7,3,10,2022,2022-03-10,Rabi,Medium,0
Brinjal,Thanjavur,21.61,472.9,3,10,2022,2022-03-10,Rabi,High,0
Cotton,Erode,56.95,297.1,3,10,2022,2022-03-10,Rabi,Medium,0
Tomato,Erode,33.44,724.4,3,10,2022,2022-03-11,Rabi,High,0
Chilli,Tirunelveli,148.14,506.9,3,10,2022,2022-03-11,Rabi,Low,1
Tomato,Thanjavur,34.0,744.9,3,10,2022,2022-03-11,Rabi,Medium,0
Groundnut,Chennai,63.27,296.3,3,10,2022,2022-03-12,Rabi,High,0
Tomato,Dindigul,32.73,437.0,3,10,2022,2022-03-13,Rabi,High,0
Cotton,Erode,53.91,633.9,3,10,2022,2022-03-13,Rabi,Medium,0
Lady Finger,Trichy,40.56,492.6,3,10,2022,2022-03-13,Rabi,Medium,0
Brinjal,Erode,28.33,446.3,3,11,2022,2022-03-14,Rabi,Medium,0
Brinjal,Erode,24.82,648.6,3,11,2022,2022-03-15,Rabi,High,0
Onion,Chennai,27.21,775.2,3,11,2022,2022-03-15,Rabi,High,0
Rice,Madurai,33.74,563.3,3,11,2022,2022-03-15,Rabi,Medium,0
Groundnut,Tirunelveli,72.34,444.8,3,11,2022,2022-03-15,Rabi,Medium,0
Groundnut,Madurai,61.29,565.5,3,11,2022,2022-03-16,Rabi,High,0
Brinjal,Vellore,22.99,674.9,3,11,2022,2022-03-17,Rabi,High,0
Tomato,Erode,33.58,765.4,3,11,2022,2022-03-17,Rabi,High,0
Tomato,Vellore,33.16,566.6,3,11,2022,2022-03-17,Rabi,High,0
Potato,Tirunelveli,26.22,489.6,3,11,2022,2022-03-17,Rabi,Medium,0
Cauliflower,Coimbatore,29.08,591.0,3,11,2022,2022-03-17,Rabi,High,0
Sugarcane,Erode,3.21,842.2,3,11,2022,2022-03-17,Rabi,High,0
Carrot,Erode,51.43,650.4,3,11,2022,2022-03-18,Rabi,Medium,0
Carrot,Trichy,50.31,838.1,3,11,2022,2022-03-18,Rabi,Medium,0
Potato,Chennai,30.2,341.7,3,11,2022,2022-03-18,Rabi,Medium,0
Potato,Trichy,26.48,591.8,3,11,2022,2022-03-18,Rabi,Medium,0
Sugarcane,Vellore,4.12,524.6,3,11,2022,2022-03-19,Rabi,Medium,0
Brinjal,Erode,24.66,414.2,3,11,2022,2022-03-19,Rabi,High,0
Chilli,Chennai,145.49,198.4,3,11,2022,2022-03-19,Rabi,Low,1
Coconut,Chennai,33.86,561.0,3,11,2022,2022-03-19,Rabi,Medium,1
Banana,Erode,44.27,365.1,3,11,2022,2022-03-20,Rabi,Medium,0
Coconut,Tirunelveli,34.96,519.8,3,12,2022,2022-03-21,Rabi,Low,1
Potato,Thanjavur,24.52,528.6,3,12,2022,2022-03-22,Rabi,Medium,0
Lady Finger,Madurai,39.29,452.4,3,12,2022,2022-03-22,Rabi,Medium,0
Carrot,Dindigul,51.06,541.7,3,12,2022,2022-03-22,Rabi,Medium,0
Cauliflower,Madurai,33.48,297.1,3,12,2022,2022-03-23,Rabi,Medium,0
Carrot,Erode,45.99,426.4,3,12,2022,2022-03-23,Rabi,High,0
Cauliflower,Chennai,25.4,346.6,3,12,2022,2022-03-23,Rabi,High,0
Cauliflower,Chennai,26.99,481.5,3,12,2022,2022-03-23,Rabi,High,0
Cabbage,Tirunelveli,17.9,388.7,3,12,2022,2022-03-23,Rabi,Medium,0
Onion,Dindigul,32.06,631.6,3,12,2022,2022-03-23,Rabi,Medium,0
Carrot,Dindigul,48.28,543.6,3,12,2022,2022-03-23,Rabi,Medium,0
Sugarcane,Dindigul,3.28,465.6,3,12,2022,2022-03-24,Rabi,High,0
Groundnut,Coimbatore,68.59,501.6,3,12,2022,2022-03-24,Rabi,Medium,0
Groundnut,Chennai,73.67,157.0,3,12,2022,2022-03-24,Rabi,Medium,0
Onion,Erode,30.79,742.7,3,12,2022,2022-03-25,Rabi,Medium,0
Banana,Thanjavur,39.38,407.5,3,12,2022,2022-03-25,Rabi,Medium,0
Cauliflower,Dindigul,33.84,305.8,3,12,2022,2022-03-25,Rabi,Medium,0
Brinjal,Dindigul,21.96,529.2,3,12,2022,2022-03-25,Rabi,High,0
Cauliflower,Thanjavur,28.55,599.8,3,12,2022,2022-03-26,Rabi,High,0
Rice,Coimbatore,25.47,443.5,3,12,2022,2022-03-26,Rabi,High,0
Banana,Thanjavur,40.67,510.4,3,12,2022,2022-03-26,Rabi,Medium,0
Rice,Dindigul,31.64,869.9,3,12,2022,2022-03-26,Rabi,Medium,0
Chilli,Dindigul,156.37,484.2,3,12,2022,2022-03-26,Rabi,Low,1
Potato,Trichy,23.47,350.0,3,12,2022,2022-03-27,Rabi,High,0
Cotton,Salem,51.78,527.3,3,12,2022,2022-03-27,Rabi,Medium,0
Coconut,Dindigul,39.03,305.7,3,12,2022,2022-03-27,Rabi,Low,1
Tomato,Thanjavur,35.51,417.7,3,13,2022,2022-03-28,Rabi,Medium,0
Cauliflower,Trichy,27.84,505.1,3,13,2022,2022-03-30,Rabi,High,0
Groundnut,Vellore,68.48,430.7,3,13,2022,2022-03-30,Rabi,Medium,0
Carrot,Vellore,50.02,714.7,3,13,2022,2022-03-31,Rabi,Medium,0
Sugarcane,Erode,3.9,590.8,3,13,2022,2022-03-31,Rabi,Medium,0
Sugarcane,Madurai,3.78,370.3,3,13,2022,2022-03-31,Rabi,Medium,0
Cabbage,Erode,17.07,495.1,3,13,2022,2022-03-31,Rabi,Medium,0
Potato,Trichy,25.96,431.9,3,13,2022,2022-03-31,Rabi,Medium,0
Carrot,Thanjavur,51.02,672.3,3,13,2022,2022-03-31,Rabi,Medium,0
Banana,Salem,43.64,475.9,3,13,2022,2022-03-31,Rabi,Medium,0
Banana,Coimbatore,38.03,580.8,3,13,2022,2022-03-31,Rabi,High,0
Lady Finger,Tirunelveli,43.32,500.7,3,13,2022,2022-03-31,Rabi,Medium,0
Coconut,Dindigul,38.5,350.1,4,13,2022,2022-04-01,Zaid,Low,1
Tomato,Trichy,36.06,444.0,4,13,2022,2022-04-01,Zaid,Medium,0
Potato,Madurai,23.54,364.9,4,13,2022,2022-04-01,Zaid,High,0
Rice,Trichy,30.08,653.1,4,13,2022,2022-04-01,Zaid,Medium,0
Potato,Erode,26.33,292.3,4,13,2022,2022-04-02,Zaid,Medium,0
Rice,Thanjavur,29.32,636.5,4,13,2022,2022-04-02,Zaid,High,0
Chilli,Coimbatore,108.88,703.4,4,13,2022,2022-04-02,Zaid,Medium,0
Brinjal,Coimbatore,30.12,230.9,4,13,2022,2022-04-03,Zaid,Medium,0
Lady Finger,Chennai,41.42,443.3,4,13,2022,2022-04-03,Zaid,Medium,0
Chilli,Tirunelveli,109.08,382.2,4,14,2022,2022-04-04,Zaid,Medium,0
Potato,Coimbatore,23.75,539.7,4,14,2022,2022-04-04,Zaid,High,0
Cotton,Dindigul,47.64,651.1,4,14,2022,2022-04-04,Zaid,High,0
Lady Finger,Trichy,39.62,610.9,4,14,2022,2022-04-04,Zaid,Medium,0
Cotton,Erode,62.8,582.1,4,14,2022,2022-04-04,Zaid,Medium,0
Cauliflower,Dindigul,28.12,1030.7,4,14,2022,2022-04-04,Zaid,High,0
Coconut,Vellore,35.1,413.4,4,14,2022,2022-04-04,Zaid,Low,1
Cauliflower,Chennai,32.77,603.3,4,14,2022,2022-04-05,Zaid,Medium,0
Chilli,Erode,97.63,706.0,4,14,2022,2022-04-05,Zaid,High,0
Potato,Chennai,24.14,888.8,4,14,2022,2022-04-05,Zaid,Medium,0
Rice,Thanjavur,32.79,320.8,4,14,2022,2022-04-05,Zaid,Medium,0
Chilli,Vellore,88.4,625.8,4,14,2022,2022-04-06,Zaid,High,0
Onion,Tirunelveli,31.78,587.9,4,14,2022,2022-04-06,Zaid,Medium,0
Rice,Thanjavur,29.31,616.9,4,14,2022,2022-04-07,Zaid,High,0
Cabbage,Dindigul,19.82,626.6,4,14,2022,2022-04-08,Zaid,Medium,0
Cabbage,Chennai,15.64,660.4,4,14,2022,2022-04-09,Zaid,High,0
Groundnut,Vellore,73.27,314.1,4,14,2022,2022-04-10,Zaid,Medium,0
Chilli,Coimbatore,100.68,452.6,4,15,2022,2022-04-11,Zaid,High,0
Chilli,Coimbatore,111.32,416.0,4,15,2022,2022-04-11,Zaid,Medium,0
Groundnut,Thanjavur,67.87,807.9,4,15,2022,2022-04-11,Zaid,Medium,0
Rice,Coimbatore,33.88,721.8,4,15,2022,2022-04-12,Zaid,Medium,0
Sugarcane,Madurai,3.99,513.5,4,15,2022,2022-04-12,Zaid,Medium,0
Coconut,Chennai,42.69,422.5,4,15,2022,2022-04-13,Zaid,Low,1
